,Sensitivity,Red,Blue,Green,Yellow,Purple,orange,black,Gray,white
0,楽しい,100,10,20,90,50,100,10,10,50
1,賑やかな,100,20,20,100,60,100,10,10,50
2,ゆっくり,10,60,90,30,20,10,80,70,50
3,気が晴れる,30,90,60,40,20,50,0,0,60
4,面白い,60,20,10,70,70,80,0,0,40
5,わいわい,80,80,0,30,70,80,0,0,60
6,はしゃぐ,90,50,0,60,0,90,10,0,60
7,のんびり,10,70,100,50,10,0,70,80,50
8,うきうき,60,60,0,40,30,80,0,0,90
9,落ち着いた,0,60,100,60,30,0,80,80,40
10,田舎,0,60,100,30,10,0,90,90,60
11,わくわく,100,30,20,90,30,100,10,10,70
12,きれい,50,90,90,90,30,50,30,30,100
13,癒される,0,90,100,60,50,10,70,70,70
14,まったり,10,10,80,40,40,0,80,80,50
